query_toks_no_value,question,table name
"['select', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'intersect', 'select', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value']",What are the students' first names who have both cats and dogs as pets?,"['student', 'has_pet', 'pets', 'student', 'has_pet', 'pets']"
"['select', 'major', ',', 'age', 'from', 'student', 'where', 'stuid', 'not', 'in', '(', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', ')']",Find the major and age of students who do not have a cat pet.,"['student', 'student', 'has_pet', 'pets']"
"['select', 'major', ',', 'age', 'from', 'student', 'where', 'stuid', 'not', 'in', '(', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', ')']","What major is every student who does not own a cat as a pet, and also how old are they?","['student', 'student', 'has_pet', 'pets']"
"['select', 'stuid', 'from', 'student', 'except', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value']",Find the id of students who do not have a cat pet.,"['student', 'student', 'has_pet', 'pets']"
"['select', 'stuid', 'from', 'student', 'except', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value']",What are the ids of the students who do not own cats as pets?,"['student', 'student', 'has_pet', 'pets']"
"['select', 't1', '.', 'fname', ',', 't1', '.', 'age', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'and', 't1', '.', 'stuid', 'not', 'in', '(', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', ')']",Find the first name and age of students who have a dog but do not have a cat as a pet.,"['student', 'has_pet', 'pets', 'student', 'has_pet', 'pets']"
"['select', 't1', '.', 'fname', ',', 't1', '.', 'age', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'and', 't1', '.', 'stuid', 'not', 'in', '(', 'select', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', ')']",What is the first name of every student who has a dog but does not have a cat?,"['student', 'has_pet', 'pets', 'student', 'has_pet', 'pets']"
"['select', 'pettype', ',', 'weight', 'from', 'pets', 'order', 'by', 'pet_age', 'limit', 'value']",Find the type and weight of the youngest pet.,['pets']
"['select', 'pettype', ',', 'weight', 'from', 'pets', 'order', 'by', 'pet_age', 'limit', 'value']","What type of pet is the youngest animal, and how much does it weigh?",['pets']
"['select', 'petid', ',', 'weight', 'from', 'pets', 'where', 'pet_age', '>', 'value']",Find the id and weight of all pets whose age is older than 1.,['pets']
"['select', 'petid', ',', 'weight', 'from', 'pets', 'where', 'pet_age', '>', 'value']",What is the id and weight of every pet who is older than 1?,['pets']
"['select', 'avg', '(', 'pet_age', ')', ',', 'max', '(', 'pet_age', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",Find the average and maximum age for each type of pet.,['pets']
"['select', 'avg', '(', 'pet_age', ')', ',', 'max', '(', 'pet_age', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",What is the average and maximum age for each pet type?,['pets']
"['select', 'avg', '(', 'weight', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",Find the average weight for each pet type.,['pets']
"['select', 'avg', '(', 'weight', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",What is the average weight for each type of pet?,['pets']
"['select', 'distinct', 't1', '.', 'fname', ',', 't1', '.', 'age', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid']",Find the first name and age of students who have a pet.,"['student', 'has_pet']"
"['select', 'distinct', 't1', '.', 'fname', ',', 't1', '.', 'age', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid']",What are the different first names and ages of the students who do have pets?,"['student', 'has_pet']"
"['select', 't2', '.', 'petid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'where', 't1', '.', 'lname', '=', 'value']",Find the id of the pet owned by student whose last name is ‘Smith’.,"['student', 'has_pet']"
"['select', 't2', '.', 'petid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'where', 't1', '.', 'lname', '=', 'value']",What is the id of the pet owned by the student whose last name is 'Smith'?,"['student', 'has_pet']"
"['select', 'count', '(', '*', ')', ',', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'group', 'by', 't1', '.', 'stuid']",Find the number of pets for each student who has any pet and student id.,"['student', 'has_pet']"
"['select', 'count', '(', '*', ')', ',', 't1', '.', 'stuid', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'group', 'by', 't1', '.', 'stuid']","For students who have pets , how many pets does each student have ? list their ids instead of names .","['student', 'has_pet']"
"['select', 't1', '.', 'fname', ',', 't1', '.', 'sex', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'group', 'by', 't1', '.', 'stuid', 'having', 'count', '(', '*', ')', '>', 'value']",Find the first name and gender of student who have more than one pet.,"['student', 'has_pet']"
"['select', 't1', '.', 'fname', ',', 't1', '.', 'sex', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'group', 'by', 't1', '.', 'stuid', 'having', 'count', '(', '*', ')', '>', 'value']",What is the first name and gender of the all the students who have more than one pet?,"['student', 'has_pet']"
"['select', 't1', '.', 'lname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pet_age', '=', 'value', 'and', 't3', '.', 'pettype', '=', 'value']",Find the last name of the student who has a cat that is age 3.,"['student', 'has_pet', 'pets']"
"['select', 't1', '.', 'lname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pet_age', '=', 'value', 'and', 't3', '.', 'pettype', '=', 'value']",What is the last name of the student who has a cat that is 3 years old?,"['student', 'has_pet', 'pets']"
"['select', 'avg', '(', 'age', ')', 'from', 'student', 'where', 'stuid', 'not', 'in', '(', 'select', 'stuid', 'from', 'has_pet', ')']",Find the average age of students who do not have any pet .,"['student', 'has_pet']"
"['select', 'avg', '(', 'age', ')', 'from', 'student', 'where', 'stuid', 'not', 'in', '(', 'select', 'stuid', 'from', 'has_pet', ')']",What is the average age for all students who do not own any pets ?,"['student', 'has_pet']"
"['select', 'count', '(', '*', ')', 'from', 'continents']",How many continents are there?,['continents']
"['select', 'count', '(', '*', ')', 'from', 'continents']",What is the number of continents?,['continents']
"['select', 't1', '.', 'contid', ',', 't1', '.', 'continent', ',', 'count', '(', '*', ')', 'from', 'continents', 'as', 't1', 'join', 'countries', 'as', 't2', 'on', 't1', '.', 'contid', '=', 't2', '.', 'continent', 'group', 'by', 't1', '.', 'contid']","How many countries does each continent have? List the continent id, continent name and the number of countries.","['continents', 'countries']"
"['select', 't1', '.', 'contid', ',', 't1', '.', 'continent', ',', 'count', '(', '*', ')', 'from', 'continents', 'as', 't1', 'join', 'countries', 'as', 't2', 'on', 't1', '.', 'contid', '=', 't2', '.', 'continent', 'group', 'by', 't1', '.', 'contid']","For each continent, list its id, name, and how many countries it has?","['continents', 'countries']"
"['select', 'count', '(', '*', ')', 'from', 'countries']",How many countries are listed?,['countries']
"['select', 'count', '(', '*', ')', 'from', 'countries']",How many countries exist?,['countries']
"['select', 't1', '.', 'fullname', ',', 't1', '.', 'id', ',', 'count', '(', '*', ')', 'from', 'car_makers', 'as', 't1', 'join', 'model_list', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'maker', 'group', 'by', 't1', '.', 'id']","How many models does each car maker produce? List maker full name, id and the number.","['car_makers', 'model_list']"
"['select', 't1', '.', 'fullname', ',', 't1', '.', 'id', ',', 'count', '(', '*', ')', 'from', 'car_makers', 'as', 't1', 'join', 'model_list', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'maker', 'group', 'by', 't1', '.', 'id']","What is the full name of each car maker, along with its id and how many models it produces?","['car_makers', 'model_list']"
"['select', 't1', '.', 'model', 'from', 'car_names', 'as', 't1', 'join', 'cars_data', 'as', 't2', 'on', 't1', '.', 'makeid', '=', 't2', '.', 'id', 'order', 'by', 't2', '.', 'horsepower', 'asc', 'limit', 'value']",Which model of the car has the minimum horsepower?,"['car_names', 'cars_data']"
"['select', 't1', '.', 'model', 'from', 'car_names', 'as', 't1', 'join', 'cars_data', 'as', 't2', 'on', 't1', '.', 'makeid', '=', 't2', '.', 'id', 'order', 'by', 't2', '.', 'horsepower', 'asc', 'limit', 'value']",What is the model of the car with the smallest amount of horsepower?,"['car_names', 'cars_data']"
"['select', 't1', '.', 'model', 'from', 'car_names', 'as', 't1', 'join', 'cars_data', 'as', 't2', 'on', 't1', '.', 'makeid', '=', 't2', '.', 'id', 'where', 't2', '.', 'weight', '<', '(', 'select', 'avg', '(', 'weight', ')', 'from', 'cars_data', ')']",Find the model of the car whose weight is below the average weight.,"['car_names', 'cars_data', 'cars_data']"
"['select', 't1', '.', 'model', 'from', 'car_names', 'as', 't1', 'join', 'cars_data', 'as', 't2', 'on', 't1', '.', 'makeid', '=', 't2', '.', 'id', 'where', 't2', '.', 'weight', '<', '(', 'select', 'avg', '(', 'weight', ')', 'from', 'cars_data', ')']",What is the model for the car with a weight smaller than the average?,"['car_names', 'cars_data', 'cars_data']"
"['select', 'distinct', 't1', '.', 'maker', 'from', 'car_makers', 'as', 't1', 'join', 'model_list', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'maker', 'join', 'car_names', 'as', 't3', 'on', 't2', '.', 'model', '=', 't3', '.', 'model', 'join', 'cars_data', 'as', 't4', 'on', 't3', '.', 'makeid', '=', 't4', '.', 'id', 'where', 't4', '.', 'year', '=', 'value']",Find the name of the makers that produced some cars in the year of 1970?,"['car_makers', 'model_list', 'car_names', 'cars_data']"
