Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
station_bike,serialized_flat,5,"Index([50, 51, 52, 53, 54], dtype='int64')","[53, 54, 52, 51, 50]","precision: 1.0
recall: 1.0","[[{'corpus_id': 53, 'score': 0.23049576580524445}, {'corpus_id': 54, 'score': 0.22938239574432373}, {'corpus_id': 52, 'score': 0.22457987070083618}, {'corpus_id': 51, 'score': 0.21396644413471222}, {'corpus_id': 50, 'score': 0.21303874254226685}]]",454
matches,serialized_flat,5,"Index([55, 56, 57, 58, 59], dtype='int64')","[58, 56, 59, 57, 55]","precision: 1.0
recall: 1.0","[[{'corpus_id': 58, 'score': 0.2616048753261566}, {'corpus_id': 56, 'score': 0.2543350160121918}, {'corpus_id': 59, 'score': 0.22902990877628326}, {'corpus_id': 57, 'score': 0.22090189158916473}, {'corpus_id': 55, 'score': 0.18867413699626923}]]",454
station_train,serialized_flat,5,"Index([60, 61, 62, 63, 64], dtype='int64')","[64, 60, 62, 61, 63]","precision: 1.0
recall: 1.0","[[{'corpus_id': 64, 'score': 0.35582059621810913}, {'corpus_id': 60, 'score': 0.3358350694179535}, {'corpus_id': 62, 'score': 0.33329644799232483}, {'corpus_id': 61, 'score': 0.32613521814346313}, {'corpus_id': 63, 'score': 0.2918027341365814}]]",454
artist,serialized_flat,5,"Index([65, 66, 67, 68, 69], dtype='int64')","[69, 68, 66, 65, 67]","precision: 1.0
recall: 1.0","[[{'corpus_id': 69, 'score': 0.3603891134262085}, {'corpus_id': 68, 'score': 0.3251272439956665}, {'corpus_id': 66, 'score': 0.2913534939289093}, {'corpus_id': 65, 'score': 0.2686662971973419}, {'corpus_id': 67, 'score': 0.2512792944908142}]]",454
school,serialized_flat,5,"Index([70, 71, 72, 73, 74], dtype='int64')","[74, 72, 73, 70, 71]","precision: 1.0
recall: 1.0","[[{'corpus_id': 74, 'score': 0.43820175528526306}, {'corpus_id': 72, 'score': 0.43691548705101013}, {'corpus_id': 73, 'score': 0.3806557357311249}, {'corpus_id': 70, 'score': 0.3708324432373047}, {'corpus_id': 71, 'score': 0.32011422514915466}]]",454
book_club,serialized_flat,5,"Index([75, 76, 77, 78, 79], dtype='int64')","[77, 76, 79, 75, 78]","precision: 1.0
recall: 1.0","[[{'corpus_id': 77, 'score': 0.3661823868751526}, {'corpus_id': 76, 'score': 0.34524521231651306}, {'corpus_id': 79, 'score': 0.29485437273979187}, {'corpus_id': 75, 'score': 0.2678142786026001}, {'corpus_id': 78, 'score': 0.2653529942035675}]]",454
Staff,serialized_flat,5,"Index([80, 81, 82, 83, 84], dtype='int64')","[84, 81, 83, 82, 80]","precision: 1.0
recall: 1.0","[[{'corpus_id': 84, 'score': 0.40135473012924194}, {'corpus_id': 81, 'score': 0.3370937407016754}, {'corpus_id': 83, 'score': 0.31737688183784485}, {'corpus_id': 82, 'score': 0.31402257084846497}, {'corpus_id': 80, 'score': 0.18876749277114868}]]",454
Products,serialized_flat,5,"Index([85, 86, 87, 88, 89], dtype='int64')","[85, 88, 89, 87, 86]","precision: 1.0
recall: 1.0","[[{'corpus_id': 85, 'score': 0.31992432475090027}, {'corpus_id': 88, 'score': 0.2730357348918915}, {'corpus_id': 89, 'score': 0.24017135798931122}, {'corpus_id': 87, 'score': 0.23080171644687653}, {'corpus_id': 86, 'score': 0.22279851138591766}]]",454
Addresses_customers,serialized_flat,5,"Index([90, 91, 92, 93, 94], dtype='int64')","[91, 94, 90, 97, 27]","precision: 0.6
recall: 0.6","[[{'corpus_id': 91, 'score': 0.2167026698589325}, {'corpus_id': 94, 'score': 0.1722610592842102}, {'corpus_id': 90, 'score': 0.14053231477737427}, {'corpus_id': 97, 'score': 0.12450853735208511}, {'corpus_id': 27, 'score': 0.11523832380771637}]]",454
Customers,serialized_flat,5,"Index([95, 96, 97, 98, 99], dtype='int64')","[96, 95, 97, 99, 98]","precision: 1.0
recall: 1.0","[[{'corpus_id': 96, 'score': 0.24960966408252716}, {'corpus_id': 95, 'score': 0.2016495168209076}, {'corpus_id': 97, 'score': 0.18410509824752808}, {'corpus_id': 99, 'score': 0.12481089681386948}, {'corpus_id': 98, 'score': 0.10715074837207794}]]",454
Physician,serialized_flat,5,"Index([200, 201, 202, 203, 204], dtype='int64')","[202, 203, 201, 204, 200]","precision: 1.0
recall: 1.0","[[{'corpus_id': 202, 'score': 0.36193662881851196}, {'corpus_id': 203, 'score': 0.31646931171417236}, {'corpus_id': 201, 'score': 0.3019867241382599}, {'corpus_id': 204, 'score': 0.2566169500350952}, {'corpus_id': 200, 'score': 0.17741452157497406}]]",454
Movie,serialized_flat,5,"Index([205, 206, 207, 208, 209], dtype='int64')","[207, 208, 209, 205, 206]","precision: 1.0
recall: 1.0","[[{'corpus_id': 207, 'score': 0.38894423842430115}, {'corpus_id': 208, 'score': 0.341635525226593}, {'corpus_id': 209, 'score': 0.3022782802581787}, {'corpus_id': 205, 'score': 0.29001930356025696}, {'corpus_id': 206, 'score': 0.2650148272514343}]]",454
film,serialized_flat,5,"Index([210, 211, 212, 213, 214], dtype='int64')","[211, 214, 212, 210, 213]","precision: 1.0
recall: 1.0","[[{'corpus_id': 211, 'score': 0.4278474748134613}, {'corpus_id': 214, 'score': 0.40482595562934875}, {'corpus_id': 212, 'score': 0.4022102952003479}, {'corpus_id': 210, 'score': 0.39603886008262634}, {'corpus_id': 213, 'score': 0.3471413254737854}]]",454
films,serialized_flat,5,"Index([215, 216, 217, 218, 219], dtype='int64')","[215, 217, 219, 218, 216]","precision: 1.0
recall: 1.0","[[{'corpus_id': 215, 'score': 0.23863568902015686}, {'corpus_id': 217, 'score': 0.2336917221546173}, {'corpus_id': 219, 'score': 0.19183257222175598}, {'corpus_id': 218, 'score': 0.18749944865703583}, {'corpus_id': 216, 'score': 0.18645334243774414}]]",454
medicine,serialized_flat,5,"Index([220, 221, 222, 223, 224], dtype='int64')","[222, 223, 221, 224, 220]","precision: 1.0
recall: 1.0","[[{'corpus_id': 222, 'score': 0.2763690650463104}, {'corpus_id': 223, 'score': 0.20955109596252441}, {'corpus_id': 221, 'score': 0.18602566421031952}, {'corpus_id': 224, 'score': 0.1706864833831787}, {'corpus_id': 220, 'score': 0.0930563434958458}]]",454
party,serialized_flat,5,"Index([225, 226, 227, 228, 229], dtype='int64')","[225, 227, 226, 229, 228]","precision: 1.0
recall: 1.0","[[{'corpus_id': 225, 'score': 0.40357622504234314}, {'corpus_id': 227, 'score': 0.3932817280292511}, {'corpus_id': 226, 'score': 0.3810427486896515}, {'corpus_id': 229, 'score': 0.37972012162208557}, {'corpus_id': 228, 'score': 0.336217999458313}]]",454
region,serialized_flat,5,"Index([230, 231, 232, 233, 234], dtype='int64')","[230, 232, 233, 234, 231]","precision: 1.0
recall: 1.0","[[{'corpus_id': 230, 'score': 0.4528372883796692}, {'corpus_id': 232, 'score': 0.394822895526886}, {'corpus_id': 233, 'score': 0.3761359751224518}, {'corpus_id': 234, 'score': 0.3415048122406006}, {'corpus_id': 231, 'score': 0.3266286849975586}]]",454
Student,serialized_flat,5,"Index([235, 236, 237, 238, 239], dtype='int64')","[333, 236, 239, 334, 330]","precision: 0.4
recall: 0.4","[[{'corpus_id': 333, 'score': 0.17542791366577148}, {'corpus_id': 236, 'score': 0.16563880443572998}, {'corpus_id': 239, 'score': 0.15501351654529572}, {'corpus_id': 334, 'score': 0.1521729975938797}, {'corpus_id': 330, 'score': 0.15172654390335083}]]",454
list,serialized_flat,5,"Index([240, 241, 242, 243, 244], dtype='int64')","[241, 240, 242, 243, 248]","precision: 0.8
recall: 0.8","[[{'corpus_id': 241, 'score': 0.17015109956264496}, {'corpus_id': 240, 'score': 0.13021878898143768}, {'corpus_id': 242, 'score': 0.11427410691976547}, {'corpus_id': 243, 'score': 0.11279689520597458}, {'corpus_id': 248, 'score': 0.10055460780858994}]]",454
teachers,serialized_flat,5,"Index([245, 246, 247, 248, 249], dtype='int64')","[247, 248, 245, 246, 249]","precision: 1.0
recall: 1.0","[[{'corpus_id': 247, 'score': 0.23647162318229675}, {'corpus_id': 248, 'score': 0.19701538980007172}, {'corpus_id': 245, 'score': 0.17710347473621368}, {'corpus_id': 246, 'score': 0.17129428684711456}, {'corpus_id': 249, 'score': 0.1211366206407547}]]",454
drivers,serialized_flat,5,"Index([336, 337, 338, 339, 358], dtype='int64')","[338, 339, 343, 358, 337]","precision: 0.8
recall: 0.8","[[{'corpus_id': 338, 'score': 0.1921548843383789}, {'corpus_id': 339, 'score': 0.16524752974510193}, {'corpus_id': 343, 'score': 0.13699132204055786}, {'corpus_id': 358, 'score': 0.13676337897777557}, {'corpus_id': 337, 'score': 0.1330914944410324}]]",454
circuits,serialized_flat,5,"Index([340, 341, 342, 343, 344], dtype='int64')","[340, 394, 341, 342, 343]","precision: 0.8
recall: 0.8","[[{'corpus_id': 340, 'score': 0.14886139333248138}, {'corpus_id': 394, 'score': 0.14280614256858826}, {'corpus_id': 341, 'score': 0.1424211859703064}, {'corpus_id': 342, 'score': 0.12836001813411713}, {'corpus_id': 343, 'score': 0.1265653520822525}]]",454
constructors,serialized_flat,5,"Index([345, 346, 347, 348, 349], dtype='int64')","[345, 347, 348, 349, 346]","precision: 1.0
recall: 1.0","[[{'corpus_id': 345, 'score': 0.3640146553516388}, {'corpus_id': 347, 'score': 0.345634400844574}, {'corpus_id': 348, 'score': 0.33430007100105286}, {'corpus_id': 349, 'score': 0.30649247765541077}, {'corpus_id': 346, 'score': 0.2832621932029724}]]",454
user_reviews,serialized_flat,5,"Index([350, 351, 352, 353, 354], dtype='int64')","[350, 354, 401, 352, 353]","precision: 0.8
recall: 0.8","[[{'corpus_id': 350, 'score': 0.19776348769664764}, {'corpus_id': 354, 'score': 0.1733989119529724}, {'corpus_id': 401, 'score': 0.1673366129398346}, {'corpus_id': 352, 'score': 0.1446911245584488}, {'corpus_id': 353, 'score': 0.1230458989739418}]]",454
customers,serialized_flat,5,"Index([355, 356, 357, 359, 360], dtype='int64')","[97, 95, 99, 98, 362]","precision: 0.0
recall: 0.0","[[{'corpus_id': 97, 'score': 0.07984259724617004}, {'corpus_id': 95, 'score': 0.07944569736719131}, {'corpus_id': 99, 'score': 0.07907980680465698}, {'corpus_id': 98, 'score': 0.07906188070774078}, {'corpus_id': 362, 'score': 0.07848171889781952}]]",454
rootbeerbrand,serialized_flat,5,"Index([361, 362, 363, 364, 365], dtype='int64')","[364, 362, 365, 360, 361]","precision: 0.8
recall: 0.8","[[{'corpus_id': 364, 'score': 0.29691219329833984}, {'corpus_id': 362, 'score': 0.26497364044189453}, {'corpus_id': 365, 'score': 0.2616809606552124}, {'corpus_id': 360, 'score': 0.22774982452392578}, {'corpus_id': 361, 'score': 0.2223525196313858}]]",454
publisher,serialized_flat,5,"Index([366, 367, 368, 369, 382], dtype='int64')","[383, 377, 370, 375, 374]","precision: 0.0
recall: 0.0","[[{'corpus_id': 383, 'score': 0.16349691152572632}, {'corpus_id': 377, 'score': 0.1364627480506897}, {'corpus_id': 370, 'score': 0.13343429565429688}, {'corpus_id': 375, 'score': 0.11882555484771729}, {'corpus_id': 374, 'score': 0.10615848004817963}]]",454
author,serialized_flat,5,"Index([370, 371, 372, 373, 383], dtype='int64')","[371, 370, 382, 383, 366]","precision: 0.6
recall: 0.6","[[{'corpus_id': 371, 'score': 0.1214047446846962}, {'corpus_id': 370, 'score': 0.11532317847013474}, {'corpus_id': 382, 'score': 0.0758688747882843}, {'corpus_id': 383, 'score': 0.07521915435791016}, {'corpus_id': 366, 'score': 0.06295431405305862}]]",454
customer,serialized_flat,5,"Index([374, 375, 376, 377, 384], dtype='int64')","[95, 96, 81, 84, 83]","precision: 0.0
recall: 0.0","[[{'corpus_id': 95, 'score': 0.0875413715839386}, {'corpus_id': 96, 'score': 0.08256798982620239}, {'corpus_id': 81, 'score': 0.07756298780441284}, {'corpus_id': 84, 'score': 0.0749591812491417}, {'corpus_id': 83, 'score': 0.07136242091655731}]]",454
businesses,serialized_flat,5,"Index([378, 379, 380, 381, 385], dtype='int64')","[378, 379, 385, 380, 381]","precision: 1.0
recall: 1.0","[[{'corpus_id': 378, 'score': 0.17151033878326416}, {'corpus_id': 379, 'score': 0.1634790301322937}, {'corpus_id': 385, 'score': 0.14986032247543335}, {'corpus_id': 380, 'score': 0.14041323959827423}, {'corpus_id': 381, 'score': 0.12370260804891586}]]",454
AllotropesCarbon,serialized_flat,1,"Index([406], dtype='int64')",[406],"precision: 1.0
recall: 1.0","[[{'corpus_id': 406, 'score': 0.35178595781326294}]]",454
AluminiumAluminium,serialized_flat,1,"Index([424], dtype='int64')",[407],"precision: 0.0
recall: 0.0","[[{'corpus_id': 407, 'score': 0.21400782465934753}]]",454
Apollo_11,serialized_flat,1,"Index([], dtype='int64')",[411],"precision: 0.0
recall: 0.0","[[{'corpus_id': 411, 'score': 0.3659537136554718}]]",454
Automatic speech recognitionDeep learning,serialized_flat,1,"Index([445], dtype='int64')",[445],"precision: 1.0
recall: 1.0","[[{'corpus_id': 445, 'score': 0.1212632954120636}]]",454
Bluetooth device power by class Bluetooth,serialized_flat,1,"Index([427], dtype='int64')",[427],"precision: 1.0
recall: 1.0","[[{'corpus_id': 427, 'score': 0.17940178513526917}]]",454
Chlorine oxoacids and oxyanionsChlorine,serialized_flat,1,"Index([439], dtype='int64')",[439],"precision: 1.0
recall: 1.0","[[{'corpus_id': 439, 'score': 0.1750946193933487}]]",454
Clubs relegated from Série ACampeonato Brasileiro Série A,serialized_flat,1,"Index([402], dtype='int64')",[402],"precision: 1.0
recall: 1.0","[[{'corpus_id': 402, 'score': 0.13008062541484833}]]",454
Common purposesDam,serialized_flat,1,"Index([449], dtype='int64')",[449],"precision: 1.0
recall: 1.0","[[{'corpus_id': 449, 'score': 0.2317296266555786}]]",454
Comparison of motor types Electric motor,serialized_flat,1,"Index([446], dtype='int64')",[446],"precision: 1.0
recall: 1.0","[[{'corpus_id': 446, 'score': 0.22057080268859863}]]",454
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",serialized_flat,1,"Index([404], dtype='int64')",[404],"precision: 1.0
recall: 1.0","[[{'corpus_id': 404, 'score': 0.19214017689228058}]]",454
Currently docked_berthedInternational Space Station,serialized_flat,1,"Index([410], dtype='int64')",[411],"precision: 0.0
recall: 0.0","[[{'corpus_id': 411, 'score': 0.13665299117565155}]]",454
Current squadBrazil national football team,serialized_flat,1,"Index([403], dtype='int64')",[403],"precision: 1.0
recall: 1.0","[[{'corpus_id': 403, 'score': 0.09482206404209137}]]",454
Decay modes in NUBASE2020[30] Radioactive decay,serialized_flat,1,"Index([434], dtype='int64')",[434],"precision: 1.0
recall: 1.0","[[{'corpus_id': 434, 'score': 0.2237687110900879}]]",454
Electromagnetic radiation interaction with matter Electromagnetic spectrum,serialized_flat,1,"Index([420], dtype='int64')",[420],"precision: 1.0
recall: 1.0","[[{'corpus_id': 420, 'score': 0.26007649302482605}]]",454
Electron configurationsPeriodic table,serialized_flat,1,"Index([405], dtype='int64')",[11],"precision: 0.0
recall: 0.0","[[{'corpus_id': 11, 'score': 0.11269761621952057}]]",454
Elementary Particles Particle physics,serialized_flat,1,"Index([448], dtype='int64')",[448],"precision: 1.0
recall: 1.0","[[{'corpus_id': 448, 'score': 0.2008955180644989}]]",454
Energetics of supernovae Supernova,serialized_flat,1,"Index([442], dtype='int64')",[442],"precision: 1.0
recall: 1.0","[[{'corpus_id': 442, 'score': 0.15389147400856018}]]",454
Fuel use in vehicle designs Electric vehicle,serialized_flat,1,"Index([436], dtype='int64')",[436],"precision: 1.0
recall: 1.0","[[{'corpus_id': 436, 'score': 0.24777722358703613}]]",454
Genetic testingCancer,serialized_flat,1,"Index([430], dtype='int64')",[430],"precision: 1.0
recall: 1.0","[[{'corpus_id': 430, 'score': 0.11672206968069077}]]",454
Genomic diversity among viruses Virus,serialized_flat,1,"Index([416], dtype='int64')",[294],"precision: 0.0
recall: 0.0","[[{'corpus_id': 294, 'score': 0.07248762995004654}]]",454
GoldGold,serialized_flat,1,"Index([422], dtype='int64')",[97],"precision: 0.0
recall: 0.0","[[{'corpus_id': 97, 'score': 0.07270236313343048}]]",454
GPS message format Global Positioning System,serialized_flat,1,"Index([450], dtype='int64')",[450],"precision: 1.0
recall: 1.0","[[{'corpus_id': 450, 'score': 0.15977120399475098}]]",454
HeliumHelium,serialized_flat,1,"Index([425], dtype='int64')",[206],"precision: 0.0
recall: 0.0","[[{'corpus_id': 206, 'score': 0.07387686520814896}]]",454
Interactions of thermodynamic systems Thermodynamics,serialized_flat,1,"Index([433], dtype='int64')",[433],"precision: 1.0
recall: 1.0","[[{'corpus_id': 433, 'score': 0.08132728189229965}]]",454
IronIron,serialized_flat,1,"Index([408], dtype='int64')",[407],"precision: 0.0
recall: 0.0","[[{'corpus_id': 407, 'score': 0.20660723745822906}]]",454
JavaScript type conversions JavaScript,serialized_flat,1,"Index([443], dtype='int64')",[206],"precision: 0.0
recall: 0.0","[[{'corpus_id': 206, 'score': 0.060331255197525024}]]",454
JIS transistor prefix table Transistor,serialized_flat,1,"Index([415], dtype='int64')",[415],"precision: 1.0
recall: 1.0","[[{'corpus_id': 415, 'score': 0.08832179009914398}]]",454
Lithium-ion battery,serialized_flat,1,"Index([437], dtype='int64')",[250],"precision: 0.0
recall: 0.0","[[{'corpus_id': 250, 'score': 0.12832209467887878}]]",454
LithiumLithium,serialized_flat,1,"Index([409], dtype='int64')",[407],"precision: 0.0
recall: 0.0","[[{'corpus_id': 407, 'score': 0.20116476714611053}]]",454
Magnetic field,serialized_flat,1,"Index([432], dtype='int64')",[432],"precision: 1.0
recall: 1.0","[[{'corpus_id': 432, 'score': 0.14827793836593628}]]",454
Major milestones James Webb Space Telescope,serialized_flat,1,"Index([413], dtype='int64')",[413],"precision: 1.0
recall: 1.0","[[{'corpus_id': 413, 'score': 0.3369588553905487}]]",454
Mass ratiosRocket,serialized_flat,1,"Index([435], dtype='int64')",[411],"precision: 0.0
recall: 0.0","[[{'corpus_id': 411, 'score': 0.1473686397075653}]]",454
"Neutronicity, confinement requirement, and power densityNuclear fusion",serialized_flat,1,"Index([418], dtype='int64')",[318],"precision: 0.0
recall: 0.0","[[{'corpus_id': 318, 'score': 0.07793329656124115}]]",454
Order and kineticsPhotosynthesis,serialized_flat,1,"Index([431], dtype='int64')",[431],"precision: 1.0
recall: 1.0","[[{'corpus_id': 431, 'score': 0.16505445539951324}]]",454
OxoacidsPhosphorus,serialized_flat,1,"Index([440], dtype='int64')",[440],"precision: 1.0
recall: 1.0","[[{'corpus_id': 440, 'score': 0.15331488847732544}]]",454
Page version statusSulfur,serialized_flat,1,"Index([441], dtype='int64')",[407],"precision: 0.0
recall: 0.0","[[{'corpus_id': 407, 'score': 0.22311492264270782}]]",454
Platform informationAndroid (operating system),serialized_flat,1,"Index([444], dtype='int64')",[10],"precision: 0.0
recall: 0.0","[[{'corpus_id': 10, 'score': 0.091513991355896}]]",454
Pourbaix diagrams[110] Uranium,serialized_flat,1,"Index([407], dtype='int64')",[407],"precision: 1.0
recall: 1.0","[[{'corpus_id': 407, 'score': 0.17605161666870117}]]",454
Pourbaix diagrams for copper Copper,serialized_flat,1,"Index([423], dtype='int64')",[423],"precision: 1.0
recall: 1.0","[[{'corpus_id': 423, 'score': 0.16732968389987946}]]",454
Radar frequency bands Radar,serialized_flat,1,"Index([451], dtype='int64')",[451],"precision: 1.0
recall: 1.0","[[{'corpus_id': 451, 'score': 0.2708034813404083}]]",454
Share of total world manufacturing output (percentage)[187] Industrial Revolution,serialized_flat,1,"Index([438], dtype='int64')",[438],"precision: 1.0
recall: 1.0","[[{'corpus_id': 438, 'score': 0.09562352299690247}]]",454
SuccessorsHubble Space Telescope,serialized_flat,1,"Index([412], dtype='int64')",[412],"precision: 1.0
recall: 1.0","[[{'corpus_id': 412, 'score': 0.25032415986061096}]]",454
Summary of achievementsSpaceX,serialized_flat,1,"Index([414], dtype='int64')",[414],"precision: 1.0
recall: 1.0","[[{'corpus_id': 414, 'score': 0.30624809861183167}]]",454
The continuous or average power required for some uses: Laser,serialized_flat,1,"Index([421], dtype='int64')",[421],"precision: 1.0
recall: 1.0","[[{'corpus_id': 421, 'score': 0.15120959281921387}]]",454
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,serialized_flat,1,"Index([452], dtype='int64')",[65],"precision: 0.0
recall: 0.0","[[{'corpus_id': 65, 'score': 0.07996270060539246}]]",454
The fourth state of matterPlasma (physics),serialized_flat,1,"Index([447], dtype='int64')",[447],"precision: 1.0
recall: 1.0","[[{'corpus_id': 447, 'score': 0.2410770207643509}]]",454
Twin paradoxSpecial relativity,serialized_flat,1,"Index([419], dtype='int64')",[419],"precision: 1.0
recall: 1.0","[[{'corpus_id': 419, 'score': 0.0649528056383133}]]",454
TypesCell (biology),serialized_flat,1,"Index([417], dtype='int64')",[417],"precision: 1.0
recall: 1.0","[[{'corpus_id': 417, 'score': 0.18915164470672607}]]",454
USB power standards USB,serialized_flat,1,"Index([426], dtype='int64')",[426],"precision: 1.0
recall: 1.0","[[{'corpus_id': 426, 'score': 0.16244548559188843}]]",454
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,serialized_flat,1,"Index([453], dtype='int64')",[88],"precision: 0.0
recall: 0.0","[[{'corpus_id': 88, 'score': 0.0962657779455185}]]",454
VersionsJava (programming language),serialized_flat,1,"Index([429], dtype='int64')",[429],"precision: 1.0
recall: 1.0","[[{'corpus_id': 429, 'score': 0.14186032116413116}]]",454
Wi-Fi generationsvte Wi-Fi,serialized_flat,1,"Index([428], dtype='int64')",[428],"precision: 1.0
recall: 1.0","[[{'corpus_id': 428, 'score': 0.19295185804367065}]]",454
artists,linearized_column_wise,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[84, 80, 82, 81, 97]",precision@5: 0.0,"[[{'corpus_id': 84, 'score': 0.15091896057128906}, {'corpus_id': 80, 'score': 0.1428297609090805}, {'corpus_id': 82, 'score': 0.11499632894992828}, {'corpus_id': 81, 'score': 0.10966542363166809}, {'corpus_id': 97, 'score': 0.09373895078897476}]]",454
playlists,linearized_column_wise,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[6, 8, 7, 5, 9]",precision@5: 1.0,"[[{'corpus_id': 6, 'score': 0.26532283425331116}, {'corpus_id': 8, 'score': 0.2624668776988983}, {'corpus_id': 7, 'score': 0.23830120265483856}, {'corpus_id': 5, 'score': 0.206699937582016}, {'corpus_id': 9, 'score': 0.17586545646190643}]]",454
chip_model,linearized_column_wise,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 10, 14]",precision@5: 1.0,"[[{'corpus_id': 11, 'score': 0.396796315908432}, {'corpus_id': 12, 'score': 0.3733547031879425}, {'corpus_id': 13, 'score': 0.3652274012565613}, {'corpus_id': 10, 'score': 0.3462090790271759}, {'corpus_id': 14, 'score': 0.3449544608592987}]]",454
Video_Games,linearized_column_wise,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]",precision@5: 1.0,"[[{'corpus_id': 17, 'score': 0.3879157304763794}, {'corpus_id': 18, 'score': 0.3375418484210968}, {'corpus_id': 15, 'score': 0.30197638273239136}, {'corpus_id': 19, 'score': 0.2978847622871399}, {'corpus_id': 16, 'score': 0.2930384576320648}]]",454
