Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
Elementary Particles Particle physics,serialized_flat,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.2008955180644989}]]",52
Energetics of supernovae Supernova,serialized_flat,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.15389147400856018}]]",52
Fuel use in vehicle designs Electric vehicle,serialized_flat,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.24777722358703613}]]",52
Genetic testingCancer,serialized_flat,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.11672206968069077}]]",52
Genomic diversity among viruses Virus,serialized_flat,1,"Index([14], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.06429800391197205}]]",52
GoldGold,serialized_flat,1,"Index([20], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.07143328338861465}]]",52
GPS message format Global Positioning System,serialized_flat,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.15977120399475098}]]",52
HeliumHelium,serialized_flat,1,"Index([23], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.07249849289655685}]]",52
Interactions of thermodynamic systems Thermodynamics,serialized_flat,1,"Index([31], dtype='int64')",[31],"precision: 1.0
recall: 1.0","[[{'corpus_id': 31, 'score': 0.08132728189229965}]]",52
IronIron,serialized_flat,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.20660723745822906}]]",52
JavaScript type conversions JavaScript,serialized_flat,1,"Index([41], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.058209531009197235}]]",52
JIS transistor prefix table Transistor,serialized_flat,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.08832179009914398}]]",52
LithiumLithium,serialized_flat,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.20116476714611053}]]",52
Major milestones James Webb Space Telescope,serialized_flat,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.3369588553905487}]]",52
Mass ratiosRocket,serialized_flat,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.1473686397075653}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",serialized_flat,1,"Index([16], dtype='int64')",[33],"precision: 0.0
recall: 0.0","[[{'corpus_id': 33, 'score': 0.07789593189954758}]]",52
Order and kineticsPhotosynthesis,serialized_flat,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.16505445539951324}]]",52
OxoacidsPhosphorus,serialized_flat,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.15331488847732544}]]",52
Page version statusSulfur,serialized_flat,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.22311492264270782}]]",52
Platform informationAndroid (operating system),serialized_flat,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.08070685714483261}]]",52
Pourbaix diagrams[110] Uranium,serialized_flat,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.17605161666870117}]]",52
Pourbaix diagrams for copper Copper,serialized_flat,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.16732968389987946}]]",52
Radar frequency bands Radar,serialized_flat,1,"Index([49], dtype='int64')",[49],"precision: 1.0
recall: 1.0","[[{'corpus_id': 49, 'score': 0.2708034813404083}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,serialized_flat,1,"Index([36], dtype='int64')",[36],"precision: 1.0
recall: 1.0","[[{'corpus_id': 36, 'score': 0.09562352299690247}]]",52
SuccessorsHubble Space Telescope,serialized_flat,1,"Index([10], dtype='int64')",[10],"precision: 1.0
recall: 1.0","[[{'corpus_id': 10, 'score': 0.25032415986061096}]]",52
Summary of achievementsSpaceX,serialized_flat,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.30624809861183167}]]",52
The continuous or average power required for some uses: Laser,serialized_flat,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15120959281921387}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,serialized_flat,1,"Index([50], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.04246260225772858}]]",52
The fourth state of matterPlasma (physics),serialized_flat,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.2410770207643509}]]",52
Twin paradoxSpecial relativity,serialized_flat,1,"Index([17], dtype='int64')",[17],"precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.0649528056383133}]]",52
TypesCell (biology),serialized_flat,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.18915164470672607}]]",52
USB power standards USB,serialized_flat,1,"Index([24], dtype='int64')",[24],"precision: 1.0
recall: 1.0","[[{'corpus_id': 24, 'score': 0.16244548559188843}]]",52
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,serialized_flat,1,"Index([51], dtype='int64')",[48],"precision: 0.0
recall: 0.0","[[{'corpus_id': 48, 'score': 0.0760846734046936}]]",52
VersionsJava (programming language),serialized_flat,1,"Index([27], dtype='int64')",[27],"precision: 1.0
recall: 1.0","[[{'corpus_id': 27, 'score': 0.14186032116413116}]]",52
Wi-Fi generationsvte Wi-Fi,serialized_flat,1,"Index([26], dtype='int64')",[26],"precision: 1.0
recall: 1.0","[[{'corpus_id': 26, 'score': 0.19295185804367065}]]",52
Magnetic field,serialized_flat,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.14827793836593628}]]",52
Lithium-ion battery,serialized_flat,1,"Index([35], dtype='int64')",[45],"precision: 0.0
recall: 0.0","[[{'corpus_id': 45, 'score': 0.04959242790937424}]]",52
AllotropesCarbon,linearized_column_wise,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.36067402362823486}]]",52
AluminiumAluminium,linearized_column_wise,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.24110256135463715}]]",52
Apollo_11,linearized_column_wise,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.3982986807823181}]]",52
Automatic speech recognitionDeep learning,linearized_column_wise,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.12464121729135513}]]",52
Bluetooth device power by class Bluetooth,linearized_column_wise,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.18876992166042328}]]",52
Chlorine oxoacids and oxyanionsChlorine,linearized_column_wise,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.19826391339302063}]]",52
Clubs relegated from Série ACampeonato Brasileiro Série A,linearized_column_wise,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.13093003630638123}]]",52
Common purposesDam,linearized_column_wise,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.24723540246486664}]]",52
Comparison of motor types Electric motor,linearized_column_wise,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.14518330991268158}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",linearized_column_wise,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.20325498282909393}]]",52
Currently docked_berthedInternational Space Station,linearized_column_wise,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.13326790928840637}]]",52
Current squadBrazil national football team,linearized_column_wise,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.1382233053445816}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,linearized_column_wise,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.20470024645328522}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,linearized_column_wise,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.2845638692378998}]]",52
Electron configurationsPeriodic table,linearized_column_wise,1,"Index([3], dtype='int64')",[8],"precision: 0.0
recall: 0.0","[[{'corpus_id': 8, 'score': 0.058509524911642075}]]",52
Elementary Particles Particle physics,linearized_column_wise,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.2715485692024231}]]",52
Energetics of supernovae Supernova,linearized_column_wise,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.16740234196186066}]]",52
Fuel use in vehicle designs Electric vehicle,linearized_column_wise,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.25694137811660767}]]",52
Genetic testingCancer,linearized_column_wise,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.11429756879806519}]]",52
Genomic diversity among viruses Virus,linearized_column_wise,1,"Index([14], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.06621114164590836}]]",52
GoldGold,linearized_column_wise,1,"Index([20], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.051734767854213715}]]",52
GPS message format Global Positioning System,linearized_column_wise,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.15705305337905884}]]",52
HeliumHelium,linearized_column_wise,1,"Index([23], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.05655861273407936}]]",52
Interactions of thermodynamic systems Thermodynamics,linearized_column_wise,1,"Index([31], dtype='int64')",[31],"precision: 1.0
recall: 1.0","[[{'corpus_id': 31, 'score': 0.09567398577928543}]]",52
IronIron,linearized_column_wise,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.21945269405841827}]]",52
JavaScript type conversions JavaScript,linearized_column_wise,1,"Index([41], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.05601324141025543}]]",52
JIS transistor prefix table Transistor,linearized_column_wise,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.09735861420631409}]]",52
Lithium-ion battery,linearized_column_wise,1,"Index([35], dtype='int64')",[45],"precision: 0.0
recall: 0.0","[[{'corpus_id': 45, 'score': 0.04809240251779556}]]",52
LithiumLithium,linearized_column_wise,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.21198518574237823}]]",52
Magnetic field,linearized_column_wise,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.13420413434505463}]]",52
Major milestones James Webb Space Telescope,linearized_column_wise,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.3438335657119751}]]",52
Mass ratiosRocket,linearized_column_wise,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.1394440233707428}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",linearized_column_wise,1,"Index([16], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.0982559472322464}]]",52
Order and kineticsPhotosynthesis,linearized_column_wise,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.17849968373775482}]]",52
OxoacidsPhosphorus,linearized_column_wise,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.15347981452941895}]]",52
Page version statusSulfur,linearized_column_wise,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.22777976095676422}]]",52
Platform informationAndroid (operating system),linearized_column_wise,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.08012304455041885}]]",52
Pourbaix diagrams[110] Uranium,linearized_column_wise,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.18187546730041504}]]",52
Pourbaix diagrams for copper Copper,linearized_column_wise,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.16085368394851685}]]",52
Radar frequency bands Radar,linearized_column_wise,1,"Index([49], dtype='int64')",[49],"precision: 1.0
recall: 1.0","[[{'corpus_id': 49, 'score': 0.27739185094833374}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,linearized_column_wise,1,"Index([36], dtype='int64')",[36],"precision: 1.0
recall: 1.0","[[{'corpus_id': 36, 'score': 0.09813598543405533}]]",52
SuccessorsHubble Space Telescope,linearized_column_wise,1,"Index([10], dtype='int64')",[11],"precision: 0.0
recall: 0.0","[[{'corpus_id': 11, 'score': 0.2805558443069458}]]",52
Summary of achievementsSpaceX,linearized_column_wise,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.2852364778518677}]]",52
The continuous or average power required for some uses: Laser,linearized_column_wise,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15887132287025452}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,linearized_column_wise,1,"Index([50], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.037351131439208984}]]",52
The fourth state of matterPlasma (physics),linearized_column_wise,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.22441071271896362}]]",52
Twin paradoxSpecial relativity,linearized_column_wise,1,"Index([17], dtype='int64')",[49],"precision: 0.0
recall: 0.0","[[{'corpus_id': 49, 'score': 0.06526198983192444}]]",52
TypesCell (biology),linearized_column_wise,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.19263747334480286}]]",52
USB power standards USB,linearized_column_wise,1,"Index([24], dtype='int64')",[24],"precision: 1.0
recall: 1.0","[[{'corpus_id': 24, 'score': 0.18762218952178955}]]",52
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,linearized_column_wise,1,"Index([51], dtype='int64')",[48],"precision: 0.0
recall: 0.0","[[{'corpus_id': 48, 'score': 0.08688965439796448}]]",52
VersionsJava (programming language),linearized_column_wise,1,"Index([27], dtype='int64')",[27],"precision: 1.0
recall: 1.0","[[{'corpus_id': 27, 'score': 0.1739499866962433}]]",52
Wi-Fi generationsvte Wi-Fi,linearized_column_wise,1,"Index([26], dtype='int64')",[26],"precision: 1.0
recall: 1.0","[[{'corpus_id': 26, 'score': 0.2152450680732727}]]",52
AllotropesCarbon,linearized_row_wise,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.361503541469574}]]",52
AluminiumAluminium,linearized_row_wise,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2273070514202118}]]",52
Apollo_11,linearized_row_wise,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.40048182010650635}]]",52
Automatic speech recognitionDeep learning,linearized_row_wise,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.08729665726423264}]]",52
Bluetooth device power by class Bluetooth,linearized_row_wise,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.18804161250591278}]]",52
Chlorine oxoacids and oxyanionsChlorine,linearized_row_wise,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.18604010343551636}]]",52
Clubs relegated from Série ACampeonato Brasileiro Série A,linearized_row_wise,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.13892346620559692}]]",52
Common purposesDam,linearized_row_wise,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.23534533381462097}]]",52
Comparison of motor types Electric motor,linearized_row_wise,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.23465563356876373}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",linearized_row_wise,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.2048131376504898}]]",52
Currently docked_berthedInternational Space Station,linearized_row_wise,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.12127408385276794}]]",52
Current squadBrazil national football team,linearized_row_wise,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.12908221781253815}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,linearized_row_wise,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.22974428534507751}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,linearized_row_wise,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.2654716968536377}]]",52
Electron configurationsPeriodic table,linearized_row_wise,1,"Index([3], dtype='int64')",[3],"precision: 1.0
recall: 1.0","[[{'corpus_id': 3, 'score': 0.07856517285108566}]]",52
Elementary Particles Particle physics,linearized_row_wise,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.2414877861738205}]]",52
Energetics of supernovae Supernova,linearized_row_wise,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.15820281207561493}]]",52
Fuel use in vehicle designs Electric vehicle,linearized_row_wise,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.24013225734233856}]]",52
Genetic testingCancer,linearized_row_wise,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.1184437945485115}]]",52
Genomic diversity among viruses Virus,linearized_row_wise,1,"Index([14], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08146694302558899}]]",52
GoldGold,linearized_row_wise,1,"Index([20], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08689954876899719}]]",52
GPS message format Global Positioning System,linearized_row_wise,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.16833175718784332}]]",52
HeliumHelium,linearized_row_wise,1,"Index([23], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08417786657810211}]]",52
Interactions of thermodynamic systems Thermodynamics,linearized_row_wise,1,"Index([31], dtype='int64')",[31],"precision: 1.0
recall: 1.0","[[{'corpus_id': 31, 'score': 0.0847819522023201}]]",52
IronIron,linearized_row_wise,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.17752744257450104}]]",52
JavaScript type conversions JavaScript,linearized_row_wise,1,"Index([41], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.06811200827360153}]]",52
JIS transistor prefix table Transistor,linearized_row_wise,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.0920800194144249}]]",52
Lithium-ion battery,linearized_row_wise,1,"Index([35], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.05026135593652725}]]",52
LithiumLithium,linearized_row_wise,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2162833958864212}]]",52
Magnetic field,linearized_row_wise,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.14385196566581726}]]",52
Major milestones James Webb Space Telescope,linearized_row_wise,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.35571056604385376}]]",52
Mass ratiosRocket,linearized_row_wise,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.15361922979354858}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",linearized_row_wise,1,"Index([16], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.12756724655628204}]]",52
Order and kineticsPhotosynthesis,linearized_row_wise,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.17370176315307617}]]",52
OxoacidsPhosphorus,linearized_row_wise,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.1464616060256958}]]",52
Page version statusSulfur,linearized_row_wise,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.1981990486383438}]]",52
Platform informationAndroid (operating system),linearized_row_wise,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.0791870728135109}]]",52
Pourbaix diagrams[110] Uranium,linearized_row_wise,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.21464182436466217}]]",52
Pourbaix diagrams for copper Copper,linearized_row_wise,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.1903281807899475}]]",52
Radar frequency bands Radar,linearized_row_wise,1,"Index([49], dtype='int64')",[49],"precision: 1.0
recall: 1.0","[[{'corpus_id': 49, 'score': 0.262263685464859}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,linearized_row_wise,1,"Index([36], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.0918944701552391}]]",52
SuccessorsHubble Space Telescope,linearized_row_wise,1,"Index([10], dtype='int64')",[10],"precision: 1.0
recall: 1.0","[[{'corpus_id': 10, 'score': 0.26893705129623413}]]",52
Summary of achievementsSpaceX,linearized_row_wise,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.31775882840156555}]]",52
The continuous or average power required for some uses: Laser,linearized_row_wise,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15269188582897186}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,linearized_row_wise,1,"Index([50], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.05652035400271416}]]",52
The fourth state of matterPlasma (physics),linearized_row_wise,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.23398452997207642}]]",52
Twin paradoxSpecial relativity,linearized_row_wise,1,"Index([17], dtype='int64')",[17],"precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.059288617223501205}]]",52
