Table,Document,URL
,./data/wiki/wiki_doc/Electronic music.md,https://en.wikipedia.org/wiki/Electronic_music
,./data/wiki/wiki_doc/Classical music.md,https://en.wikipedia.org/wiki/Classical_music
,./data/wiki/wiki_doc/Opera.md,https://en.wikipedia.org/wiki/Opera
,./data/wiki/wiki_doc/Reggae.md,https://en.wikipedia.org/wiki/Reggae
,./data/wiki/wiki_doc/Country music.md,https://en.wikipedia.org/wiki/Country_music
,./data/wiki/wiki_doc/Heavy metal music.md,https://en.wikipedia.org/wiki/Heavy_metal_music
,./data/wiki/wiki_doc/Punk rock.md,https://en.wikipedia.org/wiki/Punk_rock
,./data/wiki/wiki_doc/Ludwig van Beethoven.md,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven
,./data/wiki/wiki_doc/Wolfgang Amadeus Mozart.md,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
,./data/wiki/wiki_doc/Johann Sebastian Bach.md,https://en.wikipedia.org/wiki/Johann_Sebastian_Bach
,./data/wiki/wiki_doc/Frédéric Chopin.md,https://en.wikipedia.org/wiki/Frédéric_Chopin
,./data/wiki/wiki_doc/Elvis Presley.md,https://en.wikipedia.org/wiki/Elvis_Presley
,./data/wiki/wiki_doc/The Beatles.md,https://en.wikipedia.org/wiki/The_Beatles
,./data/wiki/wiki_doc/Michael Jackson.md,https://en.wikipedia.org/wiki/Michael_Jackson
,./data/wiki/wiki_doc/Bob Dylan.md,https://en.wikipedia.org/wiki/Bob_Dylan
,./data/wiki/wiki_doc/David Bowie.md,https://en.wikipedia.org/wiki/David_Bowie
,./data/wiki/wiki_doc/Guitar.md,https://en.wikipedia.org/wiki/Guitar
,./data/wiki/wiki_doc/Piano.md,https://en.wikipedia.org/wiki/Piano
,./data/wiki/wiki_doc/Violin.md,https://en.wikipedia.org/wiki/Violin
,./data/wiki/wiki_doc/Drum kit.md,https://en.wikipedia.org/wiki/Drum_kit
,./data/wiki/wiki_doc/Grammy Awards.md,https://en.wikipedia.org/wiki/Grammy_Award
,./data/wiki/wiki_doc/Billboard charts.md,https://en.wikipedia.org/wiki/Billboard_charts
,./data/wiki/wiki_doc/Music video.md,https://en.wikipedia.org/wiki/Music_video
,./data/wiki/wiki_doc/Spotify.md,https://en.wikipedia.org/wiki/Spotify
,./data/wiki/wiki_doc/Bossa nova.md,https://en.wikipedia.org/wiki/Bossa_nova
,./data/wiki/wiki_doc/Samba.md,https://en.wikipedia.org/wiki/Samba
,./data/wiki/wiki_doc/History of film.md,https://en.wikipedia.org/wiki/History_of_film
,./data/wiki/wiki_doc/Academy Awards.md,https://en.wikipedia.org/wiki/Academy_Awards
,./data/wiki/wiki_doc/Cannes Film Festival.md,https://en.wikipedia.org/wiki/Cannes_Film_Festival
,./data/wiki/wiki_doc/Netflix.md,https://en.wikipedia.org/wiki/Netflix
,./data/wiki/wiki_doc/Hollywood.md,https://en.wikipedia.org/wiki/Hollywood
,./data/wiki/wiki_doc/Animation.md,https://en.wikipedia.org/wiki/Animation
,./data/wiki/wiki_doc/Documentary film.md,https://en.wikipedia.org/wiki/Documentary_film
,./data/wiki/wiki_doc/Science fiction film.md,https://en.wikipedia.org/wiki/Science_fiction_film
,./data/wiki/wiki_doc/Horror film.md,https://en.wikipedia.org/wiki/Horror_film
,./data/wiki/wiki_doc/Alfred Hitchcock.md,https://en.wikipedia.org/wiki/Alfred_Hitchcock
,./data/wiki/wiki_doc/Stanley Kubrick.md,https://en.wikipedia.org/wiki/Stanley_Kubrick
,./data/wiki/wiki_doc/Steven Spielberg.md,https://en.wikipedia.org/wiki/Steven_Spielberg
,./data/wiki/wiki_doc/Charlie Chaplin.md,https://en.wikipedia.org/wiki/Charlie_Chaplin
,./data/wiki/wiki_doc/Akira Kurosawa.md,https://en.wikipedia.org/wiki/Akira_Kurosawa
,./data/wiki/wiki_doc/Walt Disney.md,https://en.wikipedia.org/wiki/Walt_Disney
,./data/wiki/wiki_doc/Pixar.md,https://en.wikipedia.org/wiki/Pixar
,./data/wiki/wiki_doc/BBC.md,https://en.wikipedia.org/wiki/BBC
,./data/wiki/wiki_doc/YouTube.md,https://en.wikipedia.org/wiki/YouTube
,./data/wiki/wiki_doc/Television.md,https://en.wikipedia.org/wiki/Television
,./data/wiki/wiki_doc/Streaming media.md,https://en.wikipedia.org/wiki/Streaming_media
,./data/wiki/wiki_doc/Box office.md,https://en.wikipedia.org/wiki/Box_office
,./data/wiki/wiki_doc/Film score.md,https://en.wikipedia.org/wiki/Film_score
,./data/wiki/wiki_doc/IMAX.md,https://en.wikipedia.org/wiki/IMAX
,./data/wiki/wiki_doc/Special effect.md,https://en.wikipedia.org/wiki/Special_effects
,./data/wiki/wiki_doc/Actor Awards.md,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
,./data/wiki/wiki_doc/Golden Globes.md,https://en.wikipedia.org/wiki/Golden_Globe_Award
,./data/wiki/wiki_doc/Sundance Film Festival.md,https://en.wikipedia.org/wiki/Sundance_Film_Festival
,./data/wiki/wiki_doc/Venice Film Festival.md,https://en.wikipedia.org/wiki/Venice_Film_Festival
,./data/wiki/wiki_doc/British Academy of Film and Television Arts.md,https://en.wikipedia.org/wiki/BAFTA
,./data/wiki/wiki_doc/Emmy Awards.md,https://en.wikipedia.org/wiki/Emmy_Award
,./data/wiki/wiki_doc/Novel.md,https://en.wikipedia.org/wiki/Novel
,./data/wiki/wiki_doc/Poetry.md,https://en.wikipedia.org/wiki/Poetry
,./data/wiki/wiki_doc/William Shakespeare.md,https://en.wikipedia.org/wiki/William_Shakespeare
,./data/wiki/wiki_doc/Homer.md,https://en.wikipedia.org/wiki/Homer
,./data/wiki/wiki_doc/Dante Alighieri.md,https://en.wikipedia.org/wiki/Dante_Alighieri
,./data/wiki/wiki_doc/Miguel de Cervantes.md,https://en.wikipedia.org/wiki/Miguel_de_Cervantes
,./data/wiki/wiki_doc/Fyodor Dostoevsky.md,https://en.wikipedia.org/wiki/Fyodor_Dostoevsky
,./data/wiki/wiki_doc/Leo Tolstoy.md,https://en.wikipedia.org/wiki/Leo_Tolstoy
,./data/wiki/wiki_doc/Franz Kafka.md,https://en.wikipedia.org/wiki/Franz_Kafka
,./data/wiki/wiki_doc/George Orwell.md,https://en.wikipedia.org/wiki/George_Orwell
,./data/wiki/wiki_doc/Gabriel García Márquez.md,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
,./data/wiki/wiki_doc/Nobel Prize in Literature.md,https://en.wikipedia.org/wiki/Nobel_Prize_in_Literature
,./data/wiki/wiki_doc/Plato.md,https://en.wikipedia.org/wiki/Plato
,./data/wiki/wiki_doc/Aristotle.md,https://en.wikipedia.org/wiki/Aristotle
,./data/wiki/wiki_doc/Immanuel Kant.md,https://en.wikipedia.org/wiki/Immanuel_Kant
,./data/wiki/wiki_doc/Friedrich Nietzsche.md,https://en.wikipedia.org/wiki/Friedrich_Nietzsche
,./data/wiki/wiki_doc/Karl Marx.md,https://en.wikipedia.org/wiki/Karl_Marx
,./data/wiki/wiki_doc/Sigmund Freud.md,https://en.wikipedia.org/wiki/Sigmund_Freud
,./data/wiki/wiki_doc/Jean-Paul Sartre.md,https://en.wikipedia.org/wiki/Jean-Paul_Sartre
,./data/wiki/wiki_doc/Existentialism.md,https://en.wikipedia.org/wiki/Existentialism
,./data/wiki/wiki_doc/Stoicism.md,https://en.wikipedia.org/wiki/Stoicism
,./data/wiki/wiki_doc/Age of Enlightenment.md,https://en.wikipedia.org/wiki/Age_of_Enlightenment
,./data/wiki/wiki_doc/Utilitarianism.md,https://en.wikipedia.org/wiki/Utilitarianism
,./data/wiki/wiki_doc/Booker Prize.md,https://en.wikipedia.org/wiki/Booker_Prize
,./data/wiki/wiki_doc/Science fiction.md,https://en.wikipedia.org/wiki/Science_fiction
,./data/wiki/wiki_doc/Myth.md,https://en.wikipedia.org/wiki/Mythology
,./data/wiki/wiki_doc/Fairy tale.md,https://en.wikipedia.org/wiki/Fairy_tale
,./data/wiki/wiki_doc/Journalism.md,https://en.wikipedia.org/wiki/Journalism
,./data/wiki/wiki_doc/Pulitzer Prize.md,https://en.wikipedia.org/wiki/Pulitzer_Prize
,./data/wiki/wiki_doc/Library of Congress.md,https://en.wikipedia.org/wiki/Library_of_Congress
,./data/wiki/wiki_doc/Gross domestic product.md,https://en.wikipedia.org/wiki/Gross_domestic_product
,./data/wiki/wiki_doc/Inflation.md,https://en.wikipedia.org/wiki/Inflation
,./data/wiki/wiki_doc/Stock market.md,https://en.wikipedia.org/wiki/Stock_market
,./data/wiki/wiki_doc/Cryptocurrency.md,https://en.wikipedia.org/wiki/Cryptocurrency
,./data/wiki/wiki_doc/Bitcoin.md,https://en.wikipedia.org/wiki/Bitcoin
,./data/wiki/wiki_doc/International Monetary Fund.md,https://en.wikipedia.org/wiki/International_Monetary_Fund
,./data/wiki/wiki_doc/World Bank Group.md,https://en.wikipedia.org/wiki/World_Bank
,./data/wiki/wiki_doc/World Trade Organization.md,https://en.wikipedia.org/wiki/World_Trade_Organization
,./data/wiki/wiki_doc/Capitalism.md,https://en.wikipedia.org/wiki/Capitalism
,./data/wiki/wiki_doc/Socialism.md,https://en.wikipedia.org/wiki/Socialism
,./data/wiki/wiki_doc/Keynesian economics.md,https://en.wikipedia.org/wiki/Keynesian_economics
,./data/wiki/wiki_doc/Supply and demand.md,https://en.wikipedia.org/wiki/Supply_and_demand
,./data/wiki/wiki_doc/Free trade.md,https://en.wikipedia.org/wiki/Free_trade
,./data/wiki/wiki_doc/Globalization.md,https://en.wikipedia.org/wiki/Globalization
,./data/wiki/wiki_doc/Multinational corporation.md,https://en.wikipedia.org/wiki/Multinational_corporation
,./data/wiki/wiki_doc/Amazon (company).md,https://en.wikipedia.org/wiki/Amazon_(company)
,./data/wiki/wiki_doc/Apple Inc..md,https://en.wikipedia.org/wiki/Apple_Inc.
,./data/wiki/wiki_doc/Microsoft.md,https://en.wikipedia.org/wiki/Microsoft
,./data/wiki/wiki_doc/Google.md,https://en.wikipedia.org/wiki/Google
,./data/wiki/wiki_doc/Meta Platforms.md,https://en.wikipedia.org/wiki/Meta_Platforms
,"./data/wiki/wiki_doc/Tesla, Inc..md","https://en.wikipedia.org/wiki/Tesla,_Inc."
,./data/wiki/wiki_doc/New York Stock Exchange.md,https://en.wikipedia.org/wiki/New_York_Stock_Exchange
,./data/wiki/wiki_doc/Nasdaq.md,https://en.wikipedia.org/wiki/NASDAQ
,./data/wiki/wiki_doc/Great Depression.md,https://en.wikipedia.org/wiki/Great_Depression
,./data/wiki/wiki_doc/2008 financial crisis.md,https://en.wikipedia.org/wiki/2008_financial_crisis
,./data/wiki/wiki_doc/Central bank.md,https://en.wikipedia.org/wiki/Central_bank
,./data/wiki/wiki_doc/Federal Reserve.md,https://en.wikipedia.org/wiki/Federal_Reserve
,./data/wiki/wiki_doc/European Central Bank.md,https://en.wikipedia.org/wiki/European_Central_Bank
,./data/wiki/wiki_doc/Tax.md,https://en.wikipedia.org/wiki/Tax
,./data/wiki/wiki_doc/Unemployment.md,https://en.wikipedia.org/wiki/Unemployment
,./data/wiki/wiki_doc/Democracy.md,https://en.wikipedia.org/wiki/Democracy
,./data/wiki/wiki_doc/Dictatorship.md,https://en.wikipedia.org/wiki/Dictatorship
,./data/wiki/wiki_doc/Communism.md,https://en.wikipedia.org/wiki/Communism
,./data/wiki/wiki_doc/Fascism.md,https://en.wikipedia.org/wiki/Fascism
,./data/wiki/wiki_doc/Liberalism.md,https://en.wikipedia.org/wiki/Liberalism
,./data/wiki/wiki_doc/Conservatism.md,https://en.wikipedia.org/wiki/Conservatism
,./data/wiki/wiki_doc/United Nations.md,https://en.wikipedia.org/wiki/United_Nations
,./data/wiki/wiki_doc/European Union.md,https://en.wikipedia.org/wiki/European_Union
,./data/wiki/wiki_doc/NATO.md,https://en.wikipedia.org/wiki/NATO
,./data/wiki/wiki_doc/Human rights.md,https://en.wikipedia.org/wiki/Human_rights
,./data/wiki/wiki_doc/Constitution.md,https://en.wikipedia.org/wiki/Constitution
,./data/wiki/wiki_doc/Parliament.md,https://en.wikipedia.org/wiki/Parliament
,./data/wiki/wiki_doc/Geopolitics.md,https://en.wikipedia.org/wiki/Geopolitics
,./data/wiki/wiki_doc/Diplomacy.md,https://en.wikipedia.org/wiki/Diplomacy
,./data/wiki/wiki_doc/Imperialism.md,https://en.wikipedia.org/wiki/Imperialism
,./data/wiki/wiki_doc/Colonialism.md,https://en.wikipedia.org/wiki/Colonialism
,./data/wiki/wiki_doc/Nationalism.md,https://en.wikipedia.org/wiki/Nationalism
,./data/wiki/wiki_doc/Feminism.md,https://en.wikipedia.org/wiki/Feminism
,./data/wiki/wiki_doc/Civil rights movement.md,https://en.wikipedia.org/wiki/Civil_rights_movement
,./data/wiki/wiki_doc/Apartheid.md,https://en.wikipedia.org/wiki/Apartheid
,./data/wiki/wiki_doc/Abraham Lincoln.md,https://en.wikipedia.org/wiki/Abraham_Lincoln
,./data/wiki/wiki_doc/Winston Churchill.md,https://en.wikipedia.org/wiki/Winston_Churchill
,./data/wiki/wiki_doc/Nelson Mandela.md,https://en.wikipedia.org/wiki/Nelson_Mandela
,./data/wiki/wiki_doc/Mahatma Gandhi.md,https://en.wikipedia.org/wiki/Mahatma_Gandhi
,./data/wiki/wiki_doc/Franklin D. Roosevelt.md,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
,./data/wiki/wiki_doc/Vladimir Lenin.md,https://en.wikipedia.org/wiki/Vladimir_Lenin
,./data/wiki/wiki_doc/Mao Zedong.md,https://en.wikipedia.org/wiki/Mao_Zedong
,./data/wiki/wiki_doc/Adolf Hitler.md,https://en.wikipedia.org/wiki/Adolf_Hitler
,./data/wiki/wiki_doc/Joseph Stalin.md,https://en.wikipedia.org/wiki/Joseph_Stalin
,./data/wiki/wiki_doc/Mercosur.md,https://en.wikipedia.org/wiki/MERCOSUR
,./data/wiki/wiki_doc/China.md,https://en.wikipedia.org/wiki/China
,./data/wiki/wiki_doc/India.md,https://en.wikipedia.org/wiki/India
,./data/wiki/wiki_doc/United States.md,https://en.wikipedia.org/wiki/United_States
,./data/wiki/wiki_doc/Russia.md,https://en.wikipedia.org/wiki/Russia
,./data/wiki/wiki_doc/Germany.md,https://en.wikipedia.org/wiki/Germany
,./data/wiki/wiki_doc/France.md,https://en.wikipedia.org/wiki/France
,./data/wiki/wiki_doc/Japan.md,https://en.wikipedia.org/wiki/Japan
,./data/wiki/wiki_doc/United Kingdom.md,https://en.wikipedia.org/wiki/United_Kingdom
,./data/wiki/wiki_doc/Canada.md,https://en.wikipedia.org/wiki/Canada
,./data/wiki/wiki_doc/Australia.md,https://en.wikipedia.org/wiki/Australia
,./data/wiki/wiki_doc/Mexico.md,https://en.wikipedia.org/wiki/Mexico
,./data/wiki/wiki_doc/South Africa.md,https://en.wikipedia.org/wiki/South_Africa
,./data/wiki/wiki_doc/Nigeria.md,https://en.wikipedia.org/wiki/Nigeria
,./data/wiki/wiki_doc/Egypt.md,https://en.wikipedia.org/wiki/Egypt
,./data/wiki/wiki_doc/Saudi Arabia.md,https://en.wikipedia.org/wiki/Saudi_Arabia
,./data/wiki/wiki_doc/Iran.md,https://en.wikipedia.org/wiki/Iran
,./data/wiki/wiki_doc/Turkey.md,https://en.wikipedia.org/wiki/Turkey
,./data/wiki/wiki_doc/Indonesia.md,https://en.wikipedia.org/wiki/Indonesia
,./data/wiki/wiki_doc/Pakistan.md,https://en.wikipedia.org/wiki/Pakistan
,./data/wiki/wiki_doc/Bangladesh.md,https://en.wikipedia.org/wiki/Bangladesh
,./data/wiki/wiki_doc/Amazon rainforest.md,https://en.wikipedia.org/wiki/Amazon_rainforest
,./data/wiki/wiki_doc/Sahara.md,https://en.wikipedia.org/wiki/Sahara
,./data/wiki/wiki_doc/Himalayas.md,https://en.wikipedia.org/wiki/Himalayas
,./data/wiki/wiki_doc/Amazon River.md,https://en.wikipedia.org/wiki/Amazon_River
,./data/wiki/wiki_doc/Nile.md,https://en.wikipedia.org/wiki/Nile
,./data/wiki/wiki_doc/Atlantic Ocean.md,https://en.wikipedia.org/wiki/Atlantic_Ocean
,./data/wiki/wiki_doc/Pacific Ocean.md,https://en.wikipedia.org/wiki/Pacific_Ocean
,./data/wiki/wiki_doc/Mediterranean Sea.md,https://en.wikipedia.org/wiki/Mediterranean_Sea
,./data/wiki/wiki_doc/Arctic.md,https://en.wikipedia.org/wiki/Arctic
,./data/wiki/wiki_doc/Antarctica.md,https://en.wikipedia.org/wiki/Antarctica
,./data/wiki/wiki_doc/New York City.md,https://en.wikipedia.org/wiki/New_York_City
,./data/wiki/wiki_doc/London.md,https://en.wikipedia.org/wiki/London
,./data/wiki/wiki_doc/Tokyo.md,https://en.wikipedia.org/wiki/Tokyo
,./data/wiki/wiki_doc/Paris.md,https://en.wikipedia.org/wiki/Paris
,./data/wiki/wiki_doc/Beijing.md,https://en.wikipedia.org/wiki/Beijing
,./data/wiki/wiki_doc/Mumbai.md,https://en.wikipedia.org/wiki/Mumbai
,./data/wiki/wiki_doc/São Paulo.md,https://en.wikipedia.org/wiki/São_Paulo
,./data/wiki/wiki_doc/Cairo.md,https://en.wikipedia.org/wiki/Cairo
,./data/wiki/wiki_doc/Lagos.md,https://en.wikipedia.org/wiki/Lagos
,./data/wiki/wiki_doc/Buenos Aires.md,https://en.wikipedia.org/wiki/Buenos_Aires
,./data/wiki/wiki_doc/Olympic Games.md,https://en.wikipedia.org/wiki/Olympic_Games
,./data/wiki/wiki_doc/Summer Olympic Games.md,https://en.wikipedia.org/wiki/Summer_Olympic_Games
,./data/wiki/wiki_doc/Winter Olympic Games.md,https://en.wikipedia.org/wiki/Winter_Olympic_Games
,./data/wiki/wiki_doc/Paralympic Games.md,https://en.wikipedia.org/wiki/Paralympic_Games
,./data/wiki/wiki_doc/Basketball.md,https://en.wikipedia.org/wiki/Basketball
,./data/wiki/wiki_doc/Tennis.md,https://en.wikipedia.org/wiki/Tennis
